# girsa-ref lexicon. GENERATED by girsa-corpus/examples/build-lexicon.rs
# from Sefaria's schemas. Do not hand-edit — regenerate.
# variant	slug	he-title	en-title
'זוה”ק	zohar	ספר הזהר	Zohar
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות יבום וחליצה	chidushim-of-machaneh-ephraim-on-mishneh-torah/levirate-marriage-and-release	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות יבום וחליצה	Chidushim of Machaneh Ephraim on Mishneh Torah, Levirate Marriage and Release
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות כלאים	chidushim-of-machaneh-ephraim-on-mishneh-torah/diverse-species	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות כלאים	Chidushim of Machaneh Ephraim on Mishneh Torah, Diverse Species
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות מאכלות אסורות	chidushim-of-machaneh-ephraim-on-mishneh-torah/forbidden-foods	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות מאכלות אסורות	Chidushim of Machaneh Ephraim on Mishneh Torah, Forbidden Foods
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות מלווה ולווה	chidushim-of-machaneh-ephraim-on-mishneh-torah/creditor-and-debtor	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות מלווה ולווה	Chidushim of Machaneh Ephraim on Mishneh Torah, Creditor and Debtor
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות ממרים	chidushim-of-machaneh-ephraim-on-mishneh-torah/rebels	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות ממרים	Chidushim of Machaneh Ephraim on Mishneh Torah, Rebels
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות מעילה	chidushim-of-machaneh-ephraim-on-mishneh-torah/trespass	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות מעילה	Chidushim of Machaneh Ephraim on Mishneh Torah, Trespass
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות מעשר שני ונטע רבעי	chidushim-of-machaneh-ephraim-on-mishneh-torah/second-tithes-and-fourth-years-fruit	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות מעשר שני ונטע רבעי	Chidushim of Machaneh Ephraim on Mishneh Torah, Second Tithes and Fourth Year's Fruit
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות מעשרות	chidushim-of-machaneh-ephraim-on-mishneh-torah/tithes	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות מעשרות	Chidushim of Machaneh Ephraim on Mishneh Torah, Tithes
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות נדרים	chidushim-of-machaneh-ephraim-on-mishneh-torah/vows	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות נדרים	Chidushim of Machaneh Ephraim on Mishneh Torah, Vows
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות נזירות	chidushim-of-machaneh-ephraim-on-mishneh-torah/nazariteship	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות נזירות	Chidushim of Machaneh Ephraim on Mishneh Torah, Nazariteship
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות נחלות	chidushim-of-machaneh-ephraim-on-mishneh-torah/inheritances	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות נחלות	Chidushim of Machaneh Ephraim on Mishneh Torah, Inheritances
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות נערה בתולה	chidushim-of-machaneh-ephraim-on-mishneh-torah/virgin-maiden	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות נערה בתולה	Chidushim of Machaneh Ephraim on Mishneh Torah, Virgin Maiden
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות סוטה	chidushim-of-machaneh-ephraim-on-mishneh-torah/woman-suspected-of-infidelity	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות סוטה	Chidushim of Machaneh Ephraim on Mishneh Torah, Woman Suspected of Infidelity
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות סנהדרין והעונשין המסורין להם	chidushim-of-machaneh-ephraim-on-mishneh-torah/the-sanhedrin-and-the-penalties-within-their-jurisdiction	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות סנהדרין והעונשין המסורין להם	Chidushim of Machaneh Ephraim on Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות עבדים	chidushim-of-machaneh-ephraim-on-mishneh-torah/slaves	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות עבדים	Chidushim of Machaneh Ephraim on Mishneh Torah, Slaves
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות עדות	chidushim-of-machaneh-ephraim-on-mishneh-torah/testimony	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות עדות	Chidushim of Machaneh Ephraim on Mishneh Torah, Testimony
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות ערכים וחרמין	chidushim-of-machaneh-ephraim-on-mishneh-torah/appraisals-and-devoted-property	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות ערכים וחרמין	Chidushim of Machaneh Ephraim on Mishneh Torah, Appraisals and Devoted Property
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות פסולי המוקדשין	chidushim-of-machaneh-ephraim-on-mishneh-torah/sacrifices-rendered-unfit	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות פסולי המוקדשין	Chidushim of Machaneh Ephraim on Mishneh Torah, Sacrifices Rendered Unfit
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות קרבן פסח	chidushim-of-machaneh-ephraim-on-mishneh-torah/paschal-offering	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות קרבן פסח	Chidushim of Machaneh Ephraim on Mishneh Torah, Paschal Offering
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שאלה ופיקדון	chidushim-of-machaneh-ephraim-on-mishneh-torah/borrowing-and-deposit	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שאלה ופיקדון	Chidushim of Machaneh Ephraim on Mishneh Torah, Borrowing and Deposit
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שאר אבות הטומאות	chidushim-of-machaneh-ephraim-on-mishneh-torah/other-sources-of-defilement	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שאר אבות הטומאות	Chidushim of Machaneh Ephraim on Mishneh Torah, Other Sources of Defilement
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שבועות	chidushim-of-machaneh-ephraim-on-mishneh-torah/oaths	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שבועות	Chidushim of Machaneh Ephraim on Mishneh Torah, Oaths
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שביתת יום טוב	chidushim-of-machaneh-ephraim-on-mishneh-torah/rest-on-a-holiday	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שביתת יום טוב	Chidushim of Machaneh Ephraim on Mishneh Torah, Rest on a Holiday
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שביתת עשור	chidushim-of-machaneh-ephraim-on-mishneh-torah/rest-on-the-tenth-of-tishrei	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שביתת עשור	Chidushim of Machaneh Ephraim on Mishneh Torah, Rest on the Tenth of Tishrei
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שבת	chidushim-of-machaneh-ephraim-on-mishneh-torah/sabbath	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שבת	Chidushim of Machaneh Ephraim on Mishneh Torah, Sabbath
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שגגות	chidushim-of-machaneh-ephraim-on-mishneh-torah/offerings-for-unintentional-transgressions	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שגגות	Chidushim of Machaneh Ephraim on Mishneh Torah, Offerings for Unintentional Transgressions
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שחיטה	chidushim-of-machaneh-ephraim-on-mishneh-torah/ritual-slaughter	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שחיטה	Chidushim of Machaneh Ephraim on Mishneh Torah, Ritual Slaughter
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שכירות	chidushim-of-machaneh-ephraim-on-mishneh-torah/hiring	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שכירות	Chidushim of Machaneh Ephraim on Mishneh Torah, Hiring
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שמיטה ויובל	chidushim-of-machaneh-ephraim-on-mishneh-torah/sabbatical-year-and-the-jubilee	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות שמיטה ויובל	Chidushim of Machaneh Ephraim on Mishneh Torah, Sabbatical Year and the Jubilee
חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות תרומות	chidushim-of-machaneh-ephraim-on-mishneh-torah/heave-offerings	חידושים מהגאון בעל מחנה אפרים על משנה תורה, הלכות תרומות	Chidushim of Machaneh Ephraim on Mishneh Torah, Heave Offerings
חיזקוני	chizkuni	חזקוני	Chizkuni
חיי אדם	chayyei-adam	חיי אדם	Chayyei Adam
חיי מוהר"ן	chayei-moharan	חיי מוהר"ן	Chayei Moharan
חיים וחסד	chayyim-vachesed	חיים וחסד	Chayyim VaChesed
חינוך	sefer-hachinukh	ספר החינוך	Sefer HaChinukh
חכם צבי	chakham-tzvi	חכם צבי	Chakham Tzvi
חכמת אדם	chokhmat-adam	חכמת אדם	Chokhmat Adam
חכמת בן סירא	ben-sira	בן סירא	Ben Sira
חכמת שלמה	the-wisdom-of-solomon	חכמת שלמה	The Wisdom of Solomon
חכמת שלמה על בבא בתרא	bavli/chokhmat-shlomo-on-bava-batra	חכמת שלמה על בבא בתרא	Chokhmat Shlomo on Bava Batra
חכמת שלמה על בבא מציעא	bavli/chokhmat-shlomo-on-bava-metzia	חכמת שלמה על בבא מציעא	Chokhmat Shlomo on Bava Metzia
חכמת שלמה על בבא קמא	bavli/chokhmat-shlomo-on-bava-kamma	חכמת שלמה על בבא קמא	Chokhmat Shlomo on Bava Kamma
חכמת שלמה על ביצה	bavli/chokhmat-shlomo-on-beitzah	חכמת שלמה על ביצה	Chokhmat Shlomo on Beitzah
חכמת שלמה על ברכות	bavli/chokhmat-shlomo-on-berakhot	חכמת שלמה על ברכות	Chokhmat Shlomo on Berakhot
חכמת שלמה על גיטין	bavli/chokhmat-shlomo-on-gittin	חכמת שלמה על גיטין	Chokhmat Shlomo on Gittin
חכמת שלמה על חולין	bavli/chokhmat-shlomo-on-chullin	חכמת שלמה על חולין	Chokhmat Shlomo on Chullin
חכמת שלמה על יבמות	bavli/chokhmat-shlomo-on-yevamot	חכמת שלמה על יבמות	Chokhmat Shlomo on Yevamot
חכמת שלמה על כתובות	bavli/chokhmat-shlomo-on-ketubot	חכמת שלמה על כתובות	Chokhmat Shlomo on Ketubot
חכמת שלמה על מכות	bavli/chokhmat-shlomo-on-makkot	חכמת שלמה על מכות	Chokhmat Shlomo on Makkot
חכמת שלמה על נדה	bavli/chokhmat-shlomo-on-niddah	חכמת שלמה על נדה	Chokhmat Shlomo on Niddah
חכמת שלמה על סוטה	bavli/chokhmat-shlomo-on-sotah	חכמת שלמה על סוטה	Chokhmat Shlomo on Sotah
חכמת שלמה על סוכה	bavli/chokhmat-shlomo-on-sukkah	חכמת שלמה על סוכה	Chokhmat Shlomo on Sukkah
חכמת שלמה על סנהדרין	bavli/chokhmat-shlomo-on-sanhedrin	חכמת שלמה על סנהדרין	Chokhmat Shlomo on Sanhedrin
חכמת שלמה על עירובין	bavli/chokhmat-shlomo-on-eruvin	חכמת שלמה על עירובין	Chokhmat Shlomo on Eruvin
חכמת שלמה על פסחים	bavli/chokhmat-shlomo-on-pesachim	חכמת שלמה על פסחים	Chokhmat Shlomo on Pesachim
חכמת שלמה על קידושין	bavli/chokhmat-shlomo-on-kiddushin	חכמת שלמה על קידושין	Chokhmat Shlomo on Kiddushin
חכמת שלמה על שבועות	bavli/chokhmat-shlomo-on-shevuot	חכמת שלמה על שבועות	Chokhmat Shlomo on Shevuot
חכמת שלמה על שבת	bavli/chokhmat-shlomo-on-shabbat	חכמת שלמה על שבת	Chokhmat Shlomo on Shabbat
חכמת שלמה על שולחן ערוך, אבן העזר	chokhmat-shlomo-on-shulchan-arukh/even-haezer	חכמת שלמה על שולחן ערוך, אבן העזר	Chokhmat Shlomo on Shulchan Arukh, Even HaEzer
חכמת שלמה על שולחן ערוך, אורח חיים	chokhmat-shlomo-on-shulchan-arukh/orach-chayim	חכמת שלמה על שולחן ערוך, אורח חיים	Chokhmat Shlomo on Shulchan Arukh, Orach Chayim
חכמת שלמה על שולחן ערוך, חושן משפט	chokhmat-shlomo-on-shulchan-arukh/choshen-mishpat	חכמת שלמה על שולחן ערוך, חושן משפט	Chokhmat Shlomo on Shulchan Arukh, Choshen Mishpat
חלה	mishnah-challah	משנה חלה	Mishnah Challah
חלקת מחוקק	chelkat-mechokek	חלקת מחוקק	Chelkat Mechokek
חלקת מחוקק על איוב	chelkat-mechokek-on-job	חלקת מחוקק על איוב	Chelkat Mechokek on Job
חמדת ישראל על משנה תורה, הלכות מלכים ומלחמות	chemdat-yisrael-on-mishneh-torah/kings-and-wars	חמדת ישראל על משנה תורה, הלכות מלכים ומלחמות	Chemdat Yisrael on Mishneh Torah, Kings and Wars
חמשה חומשי תורה, מהדורת אברט פוקס	the-five-books-of-moses/by-everett-fox	חמשה חומשי תורה, מהדורת אוורט פוקס	The Five Books of Moses, by Everett Fox
חמשה חומשי תורה, מהדורת אוורט פוקס	the-five-books-of-moses/by-everett-fox	חמשה חומשי תורה, מהדורת אוורט פוקס	The Five Books of Moses, by Everett Fox
חנה אריאל	chanah-ariel	חנה אריאל	Chanah Ariel
חנוכת התורה	chanukat-hatorah	חנוכת התורה	Chanukat HaTorah
חסד לאברהם	chesed-leavraham	חסד לאברהם	Chesed LeAvraham
חפץ חיים	chafetz-chaim	חפץ חיים	Chafetz Chaim
חפץ חיים על ספרא	chafetz-chaim-on-sifra	חפץ חיים על ספרא	Chafetz Chaim on Sifra
חק יעקב על שולחן ערוך אורח חיים	chok-yaakov-on-shulchan-arukh/orach-chayim	חק יעקב על שולחן ערוך אורח חיים	Chok Yaakov on Shulchan Arukh, Orach Chayim
חרדים	sefer-charedim	ספר חרדים	Sefer Charedim
חשבון הנפש	cheshbon-hanefesh	חשבון הנפש	Cheshbon HaNefesh
חשמונאים ב	the-book-of-maccabees-ii	ספר מקבים ב	The Book of Maccabees II
חשק שלמה על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין	cheshek-shlomo-on-mishneh-torah/first-fruits-and-other-gifts-to-priests-outside-the-sanctuary	חשק שלמה על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין	Cheshek Shlomo on Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary
חשק שלמה על משנה תורה, הלכות כלאים	cheshek-shlomo-on-mishneh-torah/diverse-species	חשק שלמה על משנה תורה, הלכות כלאים	Cheshek Shlomo on Mishneh Torah, Diverse Species
חשק שלמה על משנה תורה, הלכות מעשר שני ונטע רבעי	cheshek-shlomo-on-mishneh-torah/second-tithes-and-fourth-years-fruit	חשק שלמה על משנה תורה, הלכות מעשר שני ונטע רבעי	Cheshek Shlomo on Mishneh Torah, Second Tithes and Fourth Year's Fruit
חשק שלמה על משנה תורה, הלכות מעשרות	cheshek-shlomo-on-mishneh-torah/tithes	חשק שלמה על משנה תורה, הלכות מעשרות	Cheshek Shlomo on Mishneh Torah, Tithes
חשק שלמה על משנה תורה, הלכות מתנות עניים	cheshek-shlomo-on-mishneh-torah/gifts-to-the-poor	חשק שלמה על משנה תורה, הלכות מתנות עניים	Cheshek Shlomo on Mishneh Torah, Gifts to the Poor
חשק שלמה על משנה תורה, הלכות נדרים	cheshek-shlomo-on-mishneh-torah/vows	חשק שלמה על משנה תורה, הלכות נדרים	Cheshek Shlomo on Mishneh Torah, Vows
חשק שלמה על משנה תורה, הלכות נזירות	cheshek-shlomo-on-mishneh-torah/nazariteship	חשק שלמה על משנה תורה, הלכות נזירות	Cheshek Shlomo on Mishneh Torah, Nazariteship
חשק שלמה על משנה תורה, הלכות ערכים וחרמין	cheshek-shlomo-on-mishneh-torah/appraisals-and-devoted-property	חשק שלמה על משנה תורה, הלכות ערכים וחרמין	Cheshek Shlomo on Mishneh Torah, Appraisals and Devoted Property
חשק שלמה על משנה תורה, הלכות שבועות	cheshek-shlomo-on-mishneh-torah/oaths	חשק שלמה על משנה תורה, הלכות שבועות	Cheshek Shlomo on Mishneh Torah, Oaths
חשק שלמה על משנה תורה, הלכות שמיטה ויובל	cheshek-shlomo-on-mishneh-torah/sabbatical-year-and-the-jubilee	חשק שלמה על משנה תורה, הלכות שמיטה ויובל	Cheshek Shlomo on Mishneh Torah, Sabbatical Year and the Jubilee
חשק שלמה על משנה תורה, הלכות תרומות	cheshek-shlomo-on-mishneh-torah/heave-offerings	חשק שלמה על משנה תורה, הלכות תרומות	Cheshek Shlomo on Mishneh Torah, Heave Offerings
חתם סופר על התורה	chatam-sofer-on-torah	חתם סופר על התורה	Chatam Sofer on Torah
חתם סופר על שלחן ערוך אורח חיים	chatam-sofer-on-shulchan-arukh/orach-chayim	חתם סופר על שלחן ערוך אורח חיים	Chatam Sofer on Shulchan Arukh, Orach Chayim
חתם סופר על שלחן ערוך חושן משפט	chatam-sofer-on-shulchan-arukh/choshen-mishpat	חתם סופר על שלחן ערוך חושן משפט	Chatam Sofer on Shulchan Arukh, Choshen Mishpat
ח״מ	shulchan-arukh/choshen-mishpat	שולחן ערוך, חושן משפט	Shulchan Arukh, Choshen Mishpat
ח״מ סי'	shulchan-arukh/choshen-mishpat	שולחן ערוך, חושן משפט	Shulchan Arukh, Choshen Mishpat
ח”מ	shulchan-arukh/choshen-mishpat	שולחן ערוך, חושן משפט	Shulchan Arukh, Choshen Mishpat
ח”מ סי'	shulchan-arukh/choshen-mishpat	שולחן ערוך, חושן משפט	Shulchan Arukh, Choshen Mishpat
ט"ז יו"ד	turei-zahav-on-shulchan-arukh/yoreh-deah	טורי זהב על שולחן ערוך יורה דעה	Turei Zahav on Shulchan Arukh, Yoreh De'ah
ט"ז על שולחן ערוך אבן העזר	turei-zahav-on-shulchan-arukh/even-haezer	טורי זהב על שולחן ערוך אבן העזר	Turei Zahav on Shulchan Arukh, Even HaEzer
ט"ז על שולחן ערוך אורח חיים	turei-zahav-on-shulchan-arukh/orach-chayim	טורי זהב על שולחן ערוך אורח חיים	Turei Zahav on Shulchan Arukh, Orach Chayim
ט"ז על שולחן ערוך יורה דעה	turei-zahav-on-shulchan-arukh/yoreh-deah	טורי זהב על שולחן ערוך יורה דעה	Turei Zahav on Shulchan Arukh, Yoreh De'ah
טבול יום	mishnah-tevul-yom	משנה טבול יום	Mishnah Tevul Yom
טהרות	mishnah-tahorot	משנה טהרות	Mishnah Tahorot
טוב הלבנון	tov-halevanon	טוב הלבנון	Tov haLevanon
טור	tur	טור	Tur
טורי זהב על שולחן ערוך אבן העזר	turei-zahav-on-shulchan-arukh/even-haezer	טורי זהב על שולחן ערוך אבן העזר	Turei Zahav on Shulchan Arukh, Even HaEzer
טורי זהב על שולחן ערוך אורח חיים	turei-zahav-on-shulchan-arukh/orach-chayim	טורי זהב על שולחן ערוך אורח חיים	Turei Zahav on Shulchan Arukh, Orach Chayim
טורי זהב על שולחן ערוך חושן משפט	turei-zahav-on-shulchan-arukh/choshen-mishpat	טורי זהב על שולחן ערוך חושן משפט	Turei Zahav on Shulchan Arukh, Choshen Mishpat
טורי זהב על שולחן ערוך יורה דעה	turei-zahav-on-shulchan-arukh/yoreh-deah	טורי זהב על שולחן ערוך יורה דעה	Turei Zahav on Shulchan Arukh, Yoreh De'ah
טעבעלה באנדי על הגדה של פסח	tevele-bondi-on-pesach-haggadah	טעבעלה באנדי על הגדה של פסח 	Tevele Bondi on Pesach Haggadah
טעמי המנהגים	taamei-haminhagim	טעמי המנהגים	Ta'amei HaMinhagim
טקסט הכתובה	ketubah-text	נוסח הכתובה	Ketubah Text
ט״ז על שולחן ערוך אבן העזר	turei-zahav-on-shulchan-arukh/even-haezer	טורי זהב על שולחן ערוך אבן העזר	Turei Zahav on Shulchan Arukh, Even HaEzer
ט״ז על שולחן ערוך אורח חיים	turei-zahav-on-shulchan-arukh/orach-chayim	טורי זהב על שולחן ערוך אורח חיים	Turei Zahav on Shulchan Arukh, Orach Chayim
ט״ז על שולחן ערוך יורה דעה	turei-zahav-on-shulchan-arukh/yoreh-deah	טורי זהב על שולחן ערוך יורה דעה	Turei Zahav on Shulchan Arukh, Yoreh De'ah
יבמות	bavli/yevamot	יבמות	Yevamot
יבמות מהדורא בתרא	bavli/chidushei-halachot-on-yevamot-alternate-version	יבמות מהדורא בתרא	Chidushei Halachot on Yevamot; Alternate Version
יד אברהם על שולחן ערוך יורה דעה	yad-avraham-on-shulchan-arukh/yoreh-deah	יד אברהם על שולחן ערוך יורה דעה	Yad Avraham on Shulchan Arukh, Yoreh Deah
יד איתן על משנה תורה, הלכות אבל	yad-eitan-on-mishneh-torah/mourning	יד איתן על משנה תורה, הלכות אבל	Yad Eitan on Mishneh Torah, Mourning
יד איתן על משנה תורה, הלכות איסורי ביאה	yad-eitan-on-mishneh-torah/forbidden-intercourse	יד איתן על משנה תורה, הלכות איסורי ביאה	Yad Eitan on Mishneh Torah, Forbidden Intercourse
יד איתן על משנה תורה, הלכות איסורי המזבח	yad-eitan-on-mishneh-torah/things-forbidden-on-the-altar	יד איתן על משנה תורה, הלכות איסורי המזבח	Yad Eitan on Mishneh Torah, Things Forbidden on the Altar
יד איתן על משנה תורה, הלכות אישות	yad-eitan-on-mishneh-torah/marriage	יד איתן על משנה תורה, הלכות אישות	Yad Eitan on Mishneh Torah, Marriage
יד איתן על משנה תורה, הלכות ביאת מקדש	yad-eitan-on-mishneh-torah/admission-into-the-sanctuary	יד איתן על משנה תורה, הלכות ביאת מקדש	Yad Eitan on Mishneh Torah, Admission into the Sanctuary
יד איתן על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין	yad-eitan-on-mishneh-torah/first-fruits-and-other-gifts-to-priests-outside-the-sanctuary	יד איתן על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין	Yad Eitan on Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary
יד איתן על משנה תורה, הלכות בית הבחירה	yad-eitan-on-mishneh-torah/the-chosen-temple	יד איתן על משנה תורה, הלכות בית הבחירה	Yad Eitan on Mishneh Torah, The Chosen Temple
יד איתן על משנה תורה, הלכות בכורות	yad-eitan-on-mishneh-torah/firstlings	יד איתן על משנה תורה, הלכות בכורות	Yad Eitan on Mishneh Torah, Firstlings
יד איתן על משנה תורה, הלכות ברכות	yad-eitan-on-mishneh-torah/blessings	יד איתן על משנה תורה, הלכות ברכות	Yad Eitan on Mishneh Torah, Blessings
יד איתן על משנה תורה, הלכות גזילה ואבידה	yad-eitan-on-mishneh-torah/robbery-and-lost-property	יד איתן על משנה תורה, הלכות גזילה ואבידה	Yad Eitan on Mishneh Torah, Robbery and Lost Property
יד איתן על משנה תורה, הלכות גניבה	yad-eitan-on-mishneh-torah/theft	יד איתן על משנה תורה, הלכות גניבה	Yad Eitan on Mishneh Torah, Theft
יד איתן על משנה תורה, הלכות דעות	yad-eitan-on-mishneh-torah/human-dispositions	יד איתן על משנה תורה, הלכות דעות	Yad Eitan on Mishneh Torah, Human Dispositions
יד איתן על משנה תורה, הלכות זכייה ומתנה	yad-eitan-on-mishneh-torah/ownerless-property-and-gifts	יד איתן על משנה תורה, הלכות זכייה ומתנה	Yad Eitan on Mishneh Torah, Ownerless Property and Gifts
יד איתן על משנה תורה, הלכות חגיגה	yad-eitan-on-mishneh-torah/festival-offering	יד איתן על משנה תורה, הלכות חגיגה	Yad Eitan on Mishneh Torah, Festival Offering
יד איתן על משנה תורה, הלכות חובל ומזיק	yad-eitan-on-mishneh-torah/one-who-injures-a-person-or-property	יד איתן על משנה תורה, הלכות חובל ומזיק	Yad Eitan on Mishneh Torah, One Who Injures a Person or Property
יד איתן על משנה תורה, הלכות חמץ ומצה	yad-eitan-on-mishneh-torah/leavened-and-unleavened-bread	יד איתן על משנה תורה, הלכות חמץ ומצה	Yad Eitan on Mishneh Torah, Leavened and Unleavened Bread
יד איתן על משנה תורה, הלכות טומאת אוכלים	yad-eitan-on-mishneh-torah/defilement-of-foods	יד איתן על משנה תורה, הלכות טומאת אוכלים	Yad Eitan on Mishneh Torah, Defilement of Foods
יד איתן על משנה תורה, הלכות טומאת מת	yad-eitan-on-mishneh-torah/defilement-by-a-corpse	יד איתן על משנה תורה, הלכות טומאת מת	Yad Eitan on Mishneh Torah, Defilement by a Corpse
יד איתן על משנה תורה, הלכות טומאת צרעת	yad-eitan-on-mishneh-torah/defilement-by-leprosy	יד איתן על משנה תורה, הלכות טומאת צרעת	Yad Eitan on Mishneh Torah, Defilement by Leprosy
יד איתן על משנה תורה, הלכות יסודי התורה	yad-eitan-on-mishneh-torah/foundations-of-the-torah	יד איתן על משנה תורה, הלכות יסודי התורה	Yad Eitan on Mishneh Torah, Foundations of the Torah
יד איתן על משנה תורה, הלכות כלאים	yad-eitan-on-mishneh-torah/diverse-species	יד איתן על משנה תורה, הלכות כלאים	Yad Eitan on Mishneh Torah, Diverse Species
יד איתן על משנה תורה, הלכות כלי המקדש והעובדין בו	yad-eitan-on-mishneh-torah/vessels-of-the-sanctuary-and-those-who-serve-therein	יד איתן על משנה תורה, הלכות כלי המקדש והעובדין בו	Yad Eitan on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein
יד איתן על משנה תורה, הלכות כלים	yad-eitan-on-mishneh-torah/vessels	יד איתן על משנה תורה, הלכות כלים	Yad Eitan on Mishneh Torah, Vessels
יד איתן על משנה תורה, הלכות מאכלות אסורות	yad-eitan-on-mishneh-torah/forbidden-foods	יד איתן על משנה תורה, הלכות מאכלות אסורות	Yad Eitan on Mishneh Torah, Forbidden Foods
יד איתן על משנה תורה, הלכות מטמאי משכב ומושב	yad-eitan-on-mishneh-torah/those-who-defile-bed-or-seat	יד איתן על משנה תורה, הלכות מטמאי משכב ומושב	Yad Eitan on Mishneh Torah, Those Who Defile Bed or Seat
יד איתן על משנה תורה, הלכות מילה	yad-eitan-on-mishneh-torah/circumcision	יד איתן על משנה תורה, הלכות מילה	Yad Eitan on Mishneh Torah, Circumcision
יד איתן על משנה תורה, הלכות מכירה	yad-eitan-on-mishneh-torah/sales	יד איתן על משנה תורה, הלכות מכירה	Yad Eitan on Mishneh Torah, Sales
יד איתן על משנה תורה, הלכות מלווה ולווה	yad-eitan-on-mishneh-torah/creditor-and-debtor	יד איתן על משנה תורה, הלכות מלווה ולווה	Yad Eitan on Mishneh Torah, Creditor and Debtor
יד איתן על משנה תורה, הלכות מלכים ומלחמות	yad-eitan-on-mishneh-torah/kings-and-wars	יד איתן על משנה תורה, הלכות מלכים ומלחמות	Yad Eitan on Mishneh Torah, Kings and Wars
יד איתן על משנה תורה, הלכות ממרים	yad-eitan-on-mishneh-torah/rebels	יד איתן על משנה תורה, הלכות ממרים	Yad Eitan on Mishneh Torah, Rebels
יד איתן על משנה תורה, הלכות מעילה	yad-eitan-on-mishneh-torah/trespass	יד איתן על משנה תורה, הלכות מעילה	Yad Eitan on Mishneh Torah, Trespass
